id,product_id,created,tag,shop_id,price,price_diff
29057023,213048,2020-04-24 02:58:14,normal,1752,581,-21
29028485,213048,2020-04-23 02:53:51,normal,1752,602,9
29020109,213048,2020-04-22 12:51:17,normal,1752,593,11
28992253,213048,2020-04-21 12:46:40,normal,1752,582,-9
28957916,213048,2020-04-20 08:49:39,normal,1752,591,3
28874789,213048,2020-04-16 02:50:32,normal,1752,588,7
28863370,213048,2020-04-15 12:53:54,normal,1752,581,6
28769167,213048,2020-04-09 13:01:31,normal,1752,575,5
28745568,213048,2020-04-08 12:58:28,normal,1752,570,-15
28693675,213048,2020-04-07 02:44:23,normal,1752,585,2
28656742,213048,2020-04-04 12:55:02,normal,1752,583,1
28611508,213048,2020-04-03 02:59:13,normal,1752,582,-14
28575670,213048,2020-04-02 02:48:16,normal,1752,596,-8
28535038,213048,2020-04-01 02:46:08,normal,1752,604,-6
28506878,213048,2020-03-31 02:58:25,normal,1752,610,18
28469022,213048,2020-03-28 13:04:39,normal,1752,592,-13
28439112,213048,2020-03-27 13:07:38,normal,1752,605,-10
28407760,213048,2020-03-26 12:50:31,normal,1752,615,-14
28374916,213048,2020-03-25 12:51:08,normal,1752,629,13
28299535,213048,2020-03-22 12:52:26,normal,1752,616,-33
28287698,213048,2020-03-21 12:43:04,normal,1752,649,68
28257140,213048,2020-03-20 13:11:15,normal,1752,581,70
28199275,213048,2020-03-19 12:37:47,normal,1752,511,6
28032497,213048,2020-03-13 12:38:28,normal,1752,505,-2
27901331,213048,2020-03-08 12:48:30,normal,1752,507,-1
27886201,213048,2020-03-07 12:57:51,normal,1752,508,1
27860556,213048,2020-03-06 12:59:21,normal,1752,507,-3
27812929,213048,2020-03-05 07:30:07,normal,1752,510,-64
27799051,213048,2020-03-04 12:53:13,normal,281,574,-9
27765379,213048,2020-03-03 12:52:32,normal,281,583,8
27741627,213048,2020-03-02 12:55:21,normal,281,575,-3
27687592,213048,2020-02-28 12:39:44,normal,281,578,2
27642255,213048,2020-02-26 16:53:22,normal,281,576,3
27576788,213048,2020-02-23 12:51:15,normal,281,573,1
27545198,213048,2020-02-21 16:38:10,normal,281,572,-1
27517841,213048,2020-02-20 12:43:34,normal,281,573,4
27492983,213048,2020-02-19 16:53:15,normal,281,569,-1
27456770,213048,2020-02-18 12:42:08,normal,281,570,1
27401754,213048,2020-02-15 12:38:53,normal,281,569,-1
27345524,213048,2020-02-13 12:50:03,normal,281,570,1
27315176,213048,2020-02-12 13:32:12,normal,281,569,2
27225250,213048,2020-02-07 12:57:03,normal,281,567,-2
27181579,213048,2020-02-05 17:06:56,normal,281,569,2
27149171,213048,2020-02-04 13:02:18,normal,281,567,1
27136575,213048,2020-02-04 07:22:57,normal,281,566,3
27116266,213048,2020-02-03 10:31:38,normal,58,563,-3
27103177,213048,2020-02-02 12:47:44,normal,281,566,5
27071140,213048,2020-01-31 16:52:19,normal,281,561,-2
27064496,213048,2020-01-31 09:48:59,normal,281,563,7
27024947,213048,2020-01-29 12:49:12,normal,58,556,3
26948480,213048,2020-01-25 16:37:52,normal,281,553,1
26947709,213048,2020-01-25 12:51:02,normal,281,552,3
26904548,213048,2020-01-23 17:02:15,normal,281,549,1
26875324,213048,2020-01-22 12:44:40,normal,281,548,1
26848934,213048,2020-01-21 17:02:32,normal,281,547,2
26805498,213048,2020-01-18 12:40:46,normal,281,545,-2
26765055,213048,2020-01-16 16:41:15,normal,281,547,1
26740017,213048,2020-01-15 12:41:00,normal,281,546,-1
26668764,213048,2020-01-11 12:51:13,normal,281,547,2
26661142,213048,2020-01-11 06:52:11,normal,281,545,0
26650748,213048,2020-01-10 12:41:44,normal,58,545,3
26628542,213048,2020-01-09 16:59:18,normal,281,542,1
26531123,213048,2020-01-04 18:36:36,normal,281,541,-2
26529846,213048,2020-01-04 13:35:51,normal,58,543,2
26511811,213048,2020-01-03 17:01:14,normal,281,541,-9
26456726,213048,2019-12-31 17:06:44,normal,281,550,-2
26340455,213048,2019-12-23 13:03:14,normal,281,552,-3
26265637,213048,2019-12-19 12:52:25,normal,281,555,1
26239401,213048,2019-12-18 13:03:40,normal,281,554,-2
26217040,213048,2019-12-17 13:07:18,normal,281,556,-3
26168843,213048,2019-12-14 12:53:08,normal,281,559,-3
26121579,213048,2019-12-12 17:02:36,normal,281,562,-1
26090294,213048,2019-12-11 12:43:35,normal,281,563,1
26064408,213048,2019-12-10 12:44:25,normal,281,562,-1
26033376,213048,2019-12-08 12:51:15,normal,281,563,-2
25906882,213048,2019-12-03 16:56:29,normal,281,565,1
25866104,213048,2019-12-02 22:44:21,normal,281,564,25
25521176,213048,2019-11-19 10:49:17,normal,58,539,-26
25505526,213048,2019-11-18 12:43:22,normal,281,565,-1
25475120,213048,2019-11-16 07:41:52,normal,281,566,0
25460377,213048,2019-11-15 12:48:06,normal,58,566,3
25433329,213048,2019-11-14 12:51:37,normal,281,563,1
25410747,213048,2019-11-13 12:40:37,normal,281,562,-2
25400930,213048,2019-11-13 07:30:58,normal,281,564,0
25389922,213048,2019-11-12 16:38:11,normal,58,564,3
25320492,213048,2019-11-09 12:44:31,normal,281,561,-2
25291601,213048,2019-11-08 12:51:05,normal,281,563,-1
25274420,213048,2019-11-08 05:49:46,normal,281,564,13
24101112,213048,2019-09-19 14:32:30,normal,58,551,-24
24100565,213048,2019-09-19 12:50:57,normal,281,575,-2
24088804,213048,2019-09-19 07:31:01,normal,281,577,1
24077845,213048,2019-09-18 12:44:48,normal,58,576,3
24052548,213048,2019-09-17 12:45:19,normal,281,573,-2
24002299,213048,2019-09-14 16:40:25,normal,281,575,2
23975566,213048,2019-09-13 12:43:12,normal,281,573,-2
