id,product_id,manufacturer_id,cat_id,root_cat_id,date,hits,clicks,last_modified
22715948,211757,722,11573,101,2020-09-10,1,0,2020-09-11 05:32:01.187284
22671962,211757,722,11573,101,2020-09-09,4,1,2020-09-10 05:14:48.216323
22640332,211757,722,11573,101,2020-09-08,3,0,2020-09-09 05:18:20.780533
22616827,211757,722,11573,101,2020-09-07,1,0,2020-09-08 05:39:19.220397
22550390,211757,722,11573,101,2020-09-05,1,0,2020-09-06 05:28:45.019795
22481766,211757,722,11573,101,2020-09-03,2,1,2020-09-04 05:20:44.634152
22449887,211757,722,11573,101,2020-09-02,2,0,2020-09-03 05:20:16.465159
22424657,211757,722,11573,101,2020-09-01,1,1,2020-09-02 05:35:23.049142
22392137,211757,722,11573,101,2020-08-31,1,2,2020-09-01 05:36:13.059642
22359464,211757,722,11573,101,2020-08-30,1,0,2020-08-31 05:33:40.818101
22288826,211757,722,11573,101,2020-08-28,3,1,2020-08-29 05:14:06.652236
22260909,211757,722,11573,101,2020-08-27,2,0,2020-08-28 05:21:24.642899
22197159,211757,722,11573,101,2020-08-25,2,0,2020-08-26 05:23:19.229215
22171083,211757,722,11573,101,2020-08-24,1,0,2020-08-25 05:39:30.517017
22129706,211757,722,11573,101,2020-08-23,2,0,2020-08-24 05:26:31.205453
22096406,211757,722,11573,101,2020-08-22,2,0,2020-08-23 05:22:09.844296
22031961,211757,722,11573,101,2020-08-20,2,1,2020-08-21 05:22:06.849597
21881253,211757,722,11573,101,2020-08-15,1,0,2020-08-16 05:28:22.966453
21813922,211757,722,11573,101,2020-08-13,2,0,2020-08-14 05:22:58.551448
21788775,211757,722,11573,101,2020-08-12,1,0,2020-08-13 05:32:27.658426
21718046,211757,722,11573,101,2020-08-10,2,1,2020-08-11 05:24:39.669442
21693062,211757,722,11573,101,2020-08-09,1,1,2020-08-10 05:29:40.861128
21655446,211757,722,11573,101,2020-08-08,3,0,2020-08-09 05:13:13.727244
21626580,211757,722,11573,101,2020-08-07,3,4,2020-08-08 05:15:03.321030
21598984,211757,722,11573,101,2020-08-06,2,0,2020-08-07 05:26:55.550313
21572205,211757,722,11573,101,2020-08-05,1,0,2020-08-06 05:46:44.084908
21493182,211757,722,11573,101,2020-08-03,3,2,2020-08-04 05:22:24.786063
21460451,211757,722,11573,101,2020-08-02,3,2,2020-08-03 05:17:51.869120
21440183,211757,722,11573,101,2020-08-01,1,0,2020-08-02 05:23:12.321021
21378006,211757,722,11573,101,2020-07-30,2,0,2020-07-31 05:21:05.997043
21342860,211757,722,11573,101,2020-07-29,3,1,2020-07-30 05:18:20.757270
21312353,211757,722,11573,101,2020-07-28,2,1,2020-07-29 05:25:35.965334
21284603,211757,722,11573,101,2020-07-27,1,1,2020-07-28 05:42:24.433069
21239534,211757,722,11573,101,2020-07-26,4,4,2020-07-27 05:14:08.897703
21215618,211757,722,11573,101,2020-07-25,2,0,2020-07-26 05:16:56.387041
21134927,211757,722,11573,101,2020-07-22,1,0,2020-07-23 05:31:00.406276
21103808,211757,722,11573,101,2020-07-21,1,0,2020-07-22 05:38:20.910188
21040091,211757,722,11573,101,2020-07-19,1,0,2020-07-20 05:29:58.445734
21010100,211757,722,11573,101,2020-07-18,1,1,2020-07-19 05:28:03.233965
20971494,211757,722,11573,101,2020-07-17,3,0,2020-07-18 05:15:02.689821
20951263,211757,722,11573,101,2020-07-16,1,0,2020-07-17 05:27:22.868708
20913165,211757,722,11573,101,2020-07-15,3,1,2020-07-16 05:15:17.344382
20891384,211757,722,11573,101,2020-07-14,1,1,2020-07-15 05:39:03.159832
20853131,211757,722,11573,101,2020-07-13,2,0,2020-07-14 05:24:00.766290
20828252,211757,722,11573,101,2020-07-12,1,0,2020-07-13 05:32:29.752030
20787740,211757,722,11573,101,2020-07-11,5,1,2020-07-12 05:11:20.826274
20770432,211757,722,11573,101,2020-07-10,1,0,2020-07-11 05:29:30.992553
20633902,211757,722,11573,101,2020-07-06,3,3,2020-07-07 05:22:57.554570
20548937,211757,722,11573,101,2020-07-03,1,0,2020-07-04 05:31:48.257164
20439880,211757,722,11573,101,2020-06-30,10,0,2020-07-01 05:09:25.740972
20422995,211757,722,11573,101,2020-06-29,1,1,2020-06-30 05:43:02.647763
20361478,211757,722,11573,101,2020-06-27,1,0,2020-06-28 05:22:13.318141
20308539,211757,722,11573,101,2020-06-25,1,0,2020-06-26 05:30:39.056274
20250701,211757,722,11573,101,2020-06-23,1,0,2020-06-24 05:35:18.718862
20157971,211757,722,11573,101,2020-06-20,1,0,2020-06-21 05:29:07.791849
20098930,211757,722,11573,101,2020-06-18,2,0,2020-06-19 05:21:13.119482
20010929,211757,722,11573,101,2020-06-15,2,2,2020-06-16 05:26:59.218606
19986815,211757,722,11573,101,2020-06-14,1,0,2020-06-15 05:32:28.297659
19953201,211757,722,11573,101,2020-06-13,2,0,2020-06-14 05:17:16.685659
19931617,211757,722,11573,101,2020-06-12,1,1,2020-06-13 05:25:55.176725
19903933,211757,722,11573,101,2020-06-11,1,0,2020-06-12 05:29:43.835659
19874203,211757,722,11573,101,2020-06-10,1,0,2020-06-11 05:32:43.412543
19800505,211757,722,11573,101,2020-06-08,3,1,2020-06-09 05:22:04.926599
19743357,211757,722,11573,101,2020-06-06,1,0,2020-06-07 05:34:39.427756
19640071,211757,722,11573,101,2020-06-03,3,1,2020-06-04 05:18:56.788750
19612477,211757,722,11573,101,2020-06-02,2,2,2020-06-03 05:25:34.891699
19553413,211757,722,11573,101,2020-05-31,3,2,2020-06-01 05:12:56.023881
19535962,211757,722,11573,101,2020-05-30,1,0,2020-05-31 05:21:43.222728
19510294,211757,722,11573,101,2020-05-29,1,0,2020-05-30 05:26:11.964300
19439774,211757,722,11573,101,2020-05-27,4,0,2020-05-28 05:15:03.031464
19419075,211757,722,11573,101,2020-05-26,1,0,2020-05-27 05:39:17.408781
19376776,211757,722,11573,101,2020-05-25,3,1,2020-05-26 05:21:41.123303
19346522,211757,722,11573,101,2020-05-24,2,1,2020-05-25 05:28:34.564636
19319425,211757,722,11573,101,2020-05-23,1,0,2020-05-24 05:34:39.912905
19274031,211757,722,11573,101,2020-05-22,5,3,2020-05-23 05:13:44.220698
19255077,211757,722,11573,101,2020-05-21,1,1,2020-05-22 05:33:50.984290
19224250,211757,722,11573,101,2020-05-20,1,2,2020-05-21 05:29:33.691612
19194093,211757,722,11573,101,2020-05-19,1,0,2020-05-20 05:35:13.702500
19156328,211757,722,11573,101,2020-05-18,2,0,2020-05-19 05:25:13.521999
19132620,211757,722,11573,101,2020-05-17,1,0,2020-05-18 05:21:30.126614
19032152,211757,722,11573,101,2020-05-14,4,0,2020-05-15 05:16:49.500418
18996863,211757,722,11573,101,2020-05-13,8,3,2020-05-14 05:10:06.703974
18979283,211757,722,11573,101,2020-05-12,1,0,2020-05-13 05:40:24.006661
18912382,211757,722,11573,101,2020-05-10,1,0,2020-05-11 05:49:08.616939
18871376,211757,722,11573,101,2020-05-09,3,1,2020-05-10 05:17:00.431874
18844177,211757,722,11573,101,2020-05-08,2,0,2020-05-09 05:23:58.551769
18813824,211757,722,11573,101,2020-05-07,2,1,2020-05-08 05:24:03.710330
18779097,211757,722,11573,101,2020-05-06,3,0,2020-05-07 05:20:14.177368
18756638,211757,722,11573,101,2020-05-05,1,0,2020-05-06 05:41:57.567603
18715021,211757,722,11573,101,2020-05-04,3,0,2020-05-05 05:24:06.698209
18692383,211757,722,11573,101,2020-05-03,1,0,2020-05-04 05:41:59.480210
18592551,211757,722,11573,101,2020-04-30,3,1,2020-05-01 05:16:36.196030
18535411,211757,722,11573,101,2020-04-28,2,0,2020-04-29 05:27:41.580239
18477305,211757,722,11573,101,2020-04-26,1,0,2020-04-27 05:49:40.589028
18373795,211757,722,11573,101,2020-04-23,4,0,2020-04-24 05:19:25.349503
18354687,211757,722,11573,101,2020-04-22,1,0,2020-04-23 05:38:15.061599
18265067,211757,722,11573,101,2020-04-19,1,1,2020-04-20 05:42:14.904128
18229275,211757,722,11573,101,2020-04-18,2,1,2020-04-19 05:22:00.847118
18175230,211757,722,11573,101,2020-04-16,1,0,2020-04-17 05:50:05.461724
18070885,211757,722,11573,101,2020-04-13,2,0,2020-04-14 05:29:18.628927
18045945,211757,722,11573,101,2020-04-12,1,0,2020-04-13 05:35:53.607607
18007862,211757,722,11573,101,2020-04-11,3,0,2020-04-12 05:16:39.846451
