parent,title_no,internal_doc_type,image_url,description,title,title_phonetic,url,tags,path,_version_,internal_doc_id,popularity,root,alias,title_edge_ngram,id,alias_no,adult,last_modified,parents
Vinterjakke,Anorakk,category,/3045/3045397/d0b4ee300fb84e07b5a98d6520a43411.48x75!m.png,2116 produkter,Anorakk,Anorakk,/kategorier/anorakk,filter,Klær og sko>Ytterjakke>Vinterjakke>Anorakk,1711025782672850945,11522,4127,Klær og sko,anorak,Anorakk,11522,anorak,false,2021-09-16T03:02:23.579Z,"Klær og sko,Ytterjakke,Vinterjakke"
Ansiktspleie,Ansiktsbørste,category,/1699/1699019/original.60x75!m.jpg,41 produkter,Ansiktsbørste,Ansiktsbørste,/kategorier/ansiktsborste,products,Skjønnhet og helse>Ansiktspleie>Ansiktsbørste,1711025782672850946,11567,1102,Skjønnhet og helse,"ansiktspleie,brush,cleansing,hudpleie,rensebørste",Ansiktsbørste,11567,"cleansing,brush,ansiktspleie,rensebørste,hudpleie",false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Ansiktspleie"
Tilbehør til sminke,Ansiktskost,category,/2970/2970860/original.72x75!m.jpg,516 produkter,Ansiktskost,Ansiktskost,/kategorier/ansiktskost,filter,Skjønnhet og helse>Sminke>Tilbehør til sminke>Ansiktskost,1711025782673899520,12293,1161,Skjønnhet og helse,,Ansiktskost,12293,,false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Sminke,Tilbehør til sminke"
Ansiktspleie,Ansiktskrem,category,/3110/3110267/69ac0305-d5de-4a50-92b0-fc9876e4db2c_5.36x75!m.jpg,908 produkter,Ansiktskrem,Ansiktskrem,/kategorier/ansiktskrem,products,Skjønnhet og helse>Ansiktspleie>Ansiktskrem,1711025782673899521,11415,1536,Skjønnhet og helse,"ansiktsgel,ansiktslotion,ansiktspleie,fuktighetskrem,hudkrem,hudpleie",Ansiktskrem,11415,"hudpleie,ansiktslotion,hudkrem,ansiktsgel,fuktighetskrem,ansiktspleie",false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Ansiktspleie"
Ansiktspleie,Ansiktsmaske,category,/2881/2881086/original.32x75!m.jpg,309 produkter,Ansiktsmaske,Ansiktsmaske,/kategorier/ansiktsmaske,products,Skjønnhet og helse>Ansiktspleie>Ansiktsmaske,1711025782673899522,11563,1164,Skjønnhet og helse,"ansiktspeeling,ansiktspleie,ansiktsscrub,face,hudpleie,mask,øyemaske",Ansiktsmaske,11563,"ansiktspeeling,ansiktsscrub,face,mask,øyemaske,ansiktspleie,hudpleie",false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Ansiktspleie"
Skjønnhet og helse,Ansiktspleie,category,/1714/1714394/original.74x75!m.jpg,2458 produkter,Ansiktspleie,Ansiktspleie,/kategorier/ansiktspleie,categories,Skjønnhet og helse>Ansiktspleie,1711025782674948096,11562,1586,Skjønnhet og helse,,Ansiktspleie,11562,,false,2021-09-16T03:02:23.579Z,Skjønnhet og helse
Ansiktspleie,Ansiktsrens,category,/2928/2928230/original.20x75!m.jpg,458 produkter,Ansiktsrens,Ansiktsrens,/kategorier/ansiktsrens,products,Skjønnhet og helse>Ansiktspleie>Ansiktsrens,1711025782674948097,11566,1215,Skjønnhet og helse,"ansiktsvask,cleanser,cleansing,face",Ansiktsrens,11566,"face,cleansing,ansiktsvask,cleanser",false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Ansiktspleie"
Ansiktspleie,Ansiktsserum,category,/2928/2928237/original.22x75!m.jpg,438 produkter,Ansiktsserum,Ansiktsserum,/kategorier/ansiktsserum,products,Skjønnhet og helse>Ansiktspleie>Ansiktsserum,1711025782675996672,11564,1207,Skjønnhet og helse,"ansiktspleie,ansiktsserum,hudpleie,serum,øyeserum",Ansiktsserum,11564,"serum,ansiktsserum,øyeserum,ansiktspleie,hudpleie",false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Ansiktspleie"
Ansiktspleie,Ansiktsvann,category,/2928/2928233/original.24x75!m.jpg,210 produkter,Ansiktsvann,Ansiktsvann,/kategorier/ansiktsvann,products,Skjønnhet og helse>Ansiktspleie>Ansiktsvann,1711025782675996673,11565,1110,Skjønnhet og helse,"ansiktspleie,ansiktstoner,facetoner,hudpleie,toner",Ansiktsvann,11565,"toner,facetoner,ansiktstoner,ansiktspleie,hudpleie",false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Ansiktspleie"
Nettverk,Antenne,category,/24/24129/antenna.38x75!m.jpg,18 produkter,Antenne,Antenne,/kategorier/antenne,products,Data>Nettverk>Antenne,1711025782675996674,94,1069,Data,,Antenne,94,,false,2021-09-16T03:02:23.579Z,"Data,Nettverk"
